,#SampleID,ERR209679_1_kneaddata_taxonomic_profile,ERR209680_1_kneaddata_taxonomic_profile,ERR209681_1_kneaddata_taxonomic_profile,ERR209684_1_kneaddata_taxonomic_profile,ERR209685_1_kneaddata_taxonomic_profile,ERR209690_1_kneaddata_taxonomic_profile,ERR209691_1_kneaddata_taxonomic_profile,ERR209692_1_kneaddata_taxonomic_profile,ERR209693_1_kneaddata_taxonomic_profile,ERR209695_1_kneaddata_taxonomic_profile,ERR209696_1_kneaddata_taxonomic_profile,ERR209697_1_kneaddata_taxonomic_profile,ERR209698_1_kneaddata_taxonomic_profile,ERR209699_1_kneaddata_taxonomic_profile,ERR209700_1_kneaddata_taxonomic_profile,ERR209701_1_kneaddata_taxonomic_profile,ERR209706_1_kneaddata_taxonomic_profile,ERR209707_1_kneaddata_taxonomic_profile,ERR209708_1_kneaddata_taxonomic_profile,ERR209709_1_kneaddata_taxonomic_profile,ERR209710_1_kneaddata_taxonomic_profile,ERR209711_1_kneaddata_taxonomic_profile,ERR209715_1_kneaddata_taxonomic_profile,ERR209716_1_kneaddata_taxonomic_profile,ERR209717_1_kneaddata_taxonomic_profile,ERR209729_1_kneaddata_taxonomic_profile,ERR209730_1_kneaddata_taxonomic_profile,ERR209731_1_kneaddata_taxonomic_profile,ERR209732_1_kneaddata_taxonomic_profile,ERR209739_1_kneaddata_taxonomic_profile,ERR209740_1_kneaddata_taxonomic_profile,ERR209743_1_kneaddata_taxonomic_profile,ERR209744_1_kneaddata_taxonomic_profile,ERR209745_1_kneaddata_taxonomic_profile,ERR209746_1_kneaddata_taxonomic_profile
0,k__Archaea,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,k__Archaea|p__Euryarchaeota,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0.07902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Methanobrevibacter_smithii,0.02968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Methanobrevibacter_smithii,0.02968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Methanobrevibacter_unclassified,0.04935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,k__Bacteria,99.92097,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
